fetched_at_utc,metric,value,period_end_utc
2026-08-04T18:51:38+00:00,reach,78,2026-08-04T07:00:00+0000
2026-08-04T18:51:38+00:00,follower_count,0,2026-08-04T07:00:00+0000
2026-08-04T19:15:20+00:00,reach,229,
2026-08-04T19:15:20+00:00,views,1570,
2026-08-04T19:15:20+00:00,reposts,4,
2026-08-04T19:15:20+00:00,accounts_engaged,76,
2026-08-04T19:15:20+00:00,total_interactions,97,
2026-08-04T19:25:55+00:00,reach,229,
2026-08-04T19:25:55+00:00,views,1570,
2026-08-04T19:25:55+00:00,reposts,4,
2026-08-04T19:25:55+00:00,accounts_engaged,76,
2026-08-04T19:25:55+00:00,total_interactions,97,
2026-08-04T19:25:56+00:00,followers_count,347,
2026-08-04T19:25:56+00:00,media_count,32,
2026-08-04T20:43:00+00:00,reach,234,
2026-08-04T20:43:00+00:00,views,1590,
2026-08-04T20:43:00+00:00,reposts,4,
2026-08-04T20:43:00+00:00,accounts_engaged,76,
2026-08-04T20:43:00+00:00,total_interactions,98,
2026-08-04T20:43:02+00:00,followers_count,347,
2026-08-04T20:43:02+00:00,media_count,32,
2026-08-04T20:50:12+00:00,reach,235,
2026-08-04T20:50:12+00:00,views,1592,
2026-08-04T20:50:12+00:00,reposts,4,
2026-08-04T20:50:12+00:00,accounts_engaged,76,
2026-08-04T20:50:12+00:00,total_interactions,98,
2026-08-04T20:50:17+00:00,followers_count,347,
2026-08-04T20:50:17+00:00,media_count,32,
2026-08-04T20:59:53+00:00,reach,235,
2026-08-04T20:59:53+00:00,views,1593,
2026-08-04T20:59:53+00:00,reposts,4,
2026-08-04T20:59:53+00:00,accounts_engaged,76,
2026-08-04T20:59:53+00:00,total_interactions,98,
2026-08-04T20:59:57+00:00,followers_count,347,
2026-08-04T20:59:57+00:00,media_count,32,
2026-08-04T21:47:45+00:00,reach,237,
2026-08-04T21:47:45+00:00,views,1598,
2026-08-04T21:47:45+00:00,reposts,4,
2026-08-04T21:47:45+00:00,accounts_engaged,77,
2026-08-04T21:47:45+00:00,total_interactions,99,
2026-08-04T21:47:47+00:00,followers_count,347,
2026-08-04T21:47:47+00:00,media_count,32,
2026-08-05T07:58:54+00:00,reach,102,
2026-08-05T07:58:54+00:00,views,369,
2026-08-05T07:58:54+00:00,reposts,1,
2026-08-05T07:58:54+00:00,accounts_engaged,17,
2026-08-05T07:58:54+00:00,total_interactions,19,
2026-08-05T07:58:56+00:00,followers_count,347,
2026-08-05T07:58:56+00:00,media_count,32,
2026-08-10T08:21:48+00:00,reach,37,
2026-08-10T08:21:48+00:00,views,193,
2026-08-10T08:21:48+00:00,reposts,0,
2026-08-10T08:21:48+00:00,accounts_engaged,2,
2026-08-10T08:21:48+00:00,total_interactions,5,
2026-08-10T08:21:50+00:00,followers_count,358,
2026-08-10T08:21:50+00:00,media_count,32,
2026-08-17T21:12:54+00:00,reach,29,
2026-08-17T21:12:54+00:00,views,448,
2026-08-17T21:12:54+00:00,reposts,0,
2026-08-17T21:12:54+00:00,accounts_engaged,1,
2026-08-17T21:12:54+00:00,total_interactions,1,
2026-08-17T21:12:58+00:00,followers_count,387,
2026-08-17T21:12:58+00:00,media_count,32,
2026-08-20T13:28:59+00:00,reach,759,
2026-08-20T13:28:59+00:00,views,3862,
2026-08-20T13:28:59+00:00,reposts,5,
2026-08-20T13:28:59+00:00,accounts_engaged,139,
2026-08-20T13:28:59+00:00,total_interactions,189,
2026-08-20T13:29:01+00:00,followers_count,398,
2026-08-20T13:29:01+00:00,media_count,33,
2026-08-24T03:55:23+00:00,reach,109,
2026-08-24T03:55:23+00:00,views,387,
2026-08-24T03:55:23+00:00,reposts,1,
2026-08-24T03:55:23+00:00,accounts_engaged,13,
2026-08-24T03:55:23+00:00,total_interactions,20,
2026-08-24T03:55:26+00:00,followers_count,402,
2026-08-24T03:55:26+00:00,media_count,33,
2026-08-25T03:36:50+00:00,reach,1735,
2026-08-25T03:36:50+00:00,views,2932,
2026-08-25T03:36:50+00:00,reposts,14,
2026-08-25T03:36:50+00:00,accounts_engaged,93,
2026-08-25T03:36:50+00:00,total_interactions,136,
2026-08-25T03:36:53+00:00,followers_count,407,
2026-08-25T03:36:53+00:00,media_count,34,
2026-08-26T03:41:58+00:00,reach,2175,
2026-08-26T03:41:58+00:00,views,3571,
2026-08-26T03:41:58+00:00,reposts,14,
2026-08-26T03:41:58+00:00,accounts_engaged,114,
2026-08-26T03:41:58+00:00,total_interactions,166,
2026-08-26T03:42:00+00:00,followers_count,413,
2026-08-26T03:42:00+00:00,media_count,34,
2026-08-27T13:08:32+00:00,reach,813,
2026-08-27T13:08:32+00:00,views,2777,
2026-08-27T13:08:32+00:00,reposts,4,
2026-08-27T13:08:32+00:00,accounts_engaged,136,
2026-08-27T13:08:32+00:00,total_interactions,160,
2026-08-27T13:08:34+00:00,followers_count,416,
2026-08-27T13:08:34+00:00,media_count,35,
2026-08-28T14:36:49+00:00,reach,350,
2026-08-28T14:36:49+00:00,views,922,
2026-08-28T14:36:49+00:00,reposts,0,
2026-08-28T14:36:49+00:00,accounts_engaged,39,
2026-08-28T14:36:49+00:00,total_interactions,44,
2026-08-28T14:36:51+00:00,followers_count,417,
2026-08-28T14:36:51+00:00,media_count,35,
